"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 02 23:57:21 GMT+08:00 2022","Wed Nov 02 23:57:21 GMT+08:00 2022","0","testcases","test_01","TestRequest","","","test_05",""
"passed","Wed Nov 02 23:57:21 GMT+08:00 2022","Wed Nov 02 23:57:21 GMT+08:00 2022","0","testcases","test_01","TestRequest","","","test_03",""
"passed","Wed Nov 02 23:57:21 GMT+08:00 2022","Wed Nov 02 23:57:21 GMT+08:00 2022","0","testcases","test_01","TestRequest","","","test_04",""
"passed","Wed Nov 02 23:59:06 GMT+08:00 2022","Wed Nov 02 23:59:06 GMT+08:00 2022","73","testcases","test_01","TestRequest","","","test_login[caseinfo0]","登陆"
"passed","Wed Nov 02 23:59:06 GMT+08:00 2022","Wed Nov 02 23:59:06 GMT+08:00 2022","75","testcases","test_01","TestRequest","","","test_upload[caseinfo0]",""
"passed","Wed Nov 02 23:59:06 GMT+08:00 2022","Wed Nov 02 23:59:06 GMT+08:00 2022","38","testcases","test_01","TestRequest","","","test_upload[caseinfo1]",""
"passed","Tue Nov 01 21:23:24 GMT+08:00 2022","Tue Nov 01 21:23:24 GMT+08:00 2022","273","testcases","test_01","TestRequest","","","test_upload","图片上传"
"passed","Tue Nov 01 20:04:19 GMT+08:00 2022","Tue Nov 01 20:04:19 GMT+08:00 2022","76","testcases","test_01","TestRequest","","","test_login","登陆"
"passed","Wed Nov 02 19:32:04 GMT+08:00 2022","Wed Nov 02 19:32:04 GMT+08:00 2022","51","testcases","test_01","TestRequest","","","test_login[caseinfo1]","登陆"
